Id,Mohafaza,Caza,City,Date,relig1,relig2,relig3,relig4,relig5,relig6,relig7,relig8,relig9,relig10,relig11,relig12,sectsj1,sectsj2,sectsj3,sectsj4,sectsj5,sectsj6,sectsj7,sectsj8,sectarian1,sectarian2,sectarian3,sectarian4,sectarian5,polfriends,mcp1,mcp2,mcp3,mcp4,mcp5,mcp6,mcp7,mcp8,mcp9,mcp10,mcp11,polinterest,conservsoc,conservecon,conservpol,lebpol,intlnews,nationews,localnews,govnews,commnews,econnews,intlaffnews,menanews,entnews,newspaper,radio,tv,socmedia,webapp,news1,news2,news3,news4,newsother,radio1,radio2,radio3,radio4,radioother,tv1,tv2,tv3,tv4,tv5,tv6,tv7,tv8,tvother,webapp1,webapp2,webapp3,webapp4,webappother,smartphone,cellphone,desktopcomp,laptop,tablet,mobileint,internetuse,facebook,twitter,instagram,socmediaother,socmediamost,postfreq,fbfriendspol,twitterpol,fbfriendssect,twittersect,somediapolitical,socmediarelig,socpolmod,Prmt,Tweet1_order,Tweet1_1,Tweet1_2,Tweet1_3,Tweet2_order,Tweet2_1,Tweet2_2,Tweet2_3,Tweet3_order,Tweet3_1,Tweet3_2,Tweet3_3,Tweet4_order,Tweet4_1,Tweet4_2,Tweet4_3,Tweet5_order,Tweet5_1,Tweet5_2,Tweet5_3,Tweet6_order,Tweet6_1,Tweet6_2,Tweet6_3,Tweet7_order,Tweet7_1,Tweet7_2,Tweet7_3,Tweet8_order,Tweet8_1,Tweet8_2,Tweet8_3,sex,Age,Sect,EdLvl,HHIncome,Job,JobDes,NoJob
382,6,25,38,11/14/17,4,3,4,3,4,2,2,4,3,2,2,4,2,2,4,2,4,3,3,3,4,4,3,4,4,1,5,5,4,4,1,4,5,4,5,5,5,2,2,4,4,5,2,1,1,1,2,2,2,1,2,4,1,1,4,1,15,NA,NA,NA,1,6,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,1,1,2,2,2,2,1,2,1,NA,NA,NA,1,5,3,6,3,5,2,2,2,2,4,7,7,5,6,1,1,1,3,7,7,7,8,11,11,9,7,7,7,7,1,9,9,9,2,6,6,6,5,11,11,11,2,29,1,2,2,1,20,6
383,6,25,38,11/14/17,4,4,2,4,4,4,3,2,4,2,3,4,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,2,4,4,4,4,4,5,2,3,3,3,2,1,1,1,1,1,2,1,1,3,3,2,1,4,4,1,NA,NA,NA,1,1,NA,NA,NA,1,2,5,NA,NA,NA,NA,NA,NA,1,14,NA,NA,NA,1,2,1,2,2,2,2,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,3,3,2,5,1,1,1,2,3,3,3,1,11,11,11,8,9,9,9,4,10,11,8,6,10,10,9,3,11,11,11,2,39,1,2,3,2,2,4
384,6,25,38,11/14/17,5,5,2,4,4,4,4,2,4,2,4,3,2,2,4,2,4,3,3,3,5,4,5,5,5,1,4,4,4,4,2,4,4,4,4,4,5,1,4,3,3,3,1,1,1,1,2,3,1,1,3,4,1,1,4,4,15,NA,NA,NA,1,1,4,NA,NA,1,1,2,4,NA,NA,NA,NA,NA,1,14,NA,NA,NA,1,2,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,6,6,4,3,6,6,6,7,6,6,6,8,10,10,9,5,6,6,6,2,8,8,6,4,8,8,7,1,8,8,8,2,39,7,2,3,1,46,6
385,6,25,38,11/16/17,5,5,2,4,3,4,4,2,4,2,4,3,2,2,4,2,4,2,2,2,4,4,4,4,4,1,3,3,3,4,2,3,3,3,3,3,4,1,4,2,2,4,1,1,1,1,2,3,2,2,4,2,2,1,4,4,4,NA,NA,NA,1,4,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,14,NA,NA,NA,1,2,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,6,6,6,7,9,9,9,1,6,7,6,8,6,6,6,3,6,6,6,6,9,9,9,2,6,6,6,5,7,7,6,2,16,7,2,3,1,10,6
386,6,25,38,11/14/17,4,4,2,4,3,4,4,2,4,2,4,3,2,2,4,2,4,2,2,2,4,4,4,4,4,1,3,4,3,4,2,3,4,3,4,3,4,2,4,2,2,4,2,1,1,1,2,4,2,2,3,4,4,1,2,4,15,NA,NA,NA,1,10,NA,NA,NA,1,1,2,4,NA,NA,NA,NA,NA,1,14,NA,NA,NA,1,1,2,2,2,2,1,2,1,NA,NA,NA,1,3,3,6,3,5,1,1,2,5,1,8,9,7,6,9,10,10,3,9,9,9,8,7,7,7,7,7,7,6,2,8,8,8,5,9,9,9,4,8,8,8,1,26,7,2,3,2,2,2
388,6,25,38,11/14/17,5,3,4,3,4,2,2,4,3,3,2,4,2,2,4,2,4,2,2,3,4,3,4,4,4,3,4,4,4,4,2,4,4,4,4,4,4,3,2,3,3,3,2,2,2,2,3,4,2,2,3,4,4,2,2,2,15,NA,NA,NA,1,10,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,1,1,2,2,2,1,2,1,3,NA,NA,1,5,3,6,3,5,2,2,2,4,4,5,5,3,8,1,1,1,6,6,6,1,5,9,9,9,1,7,7,7,2,11,11,11,3,8,8,8,7,11,11,11,1,21,7,2,2,2,2,2
389,5,20,31,11/17/17,5,5,1,5,2,4,3,1,5,1,2,3,2,3,4,NA,NA,2,2,2,5,5,5,5,5,1,NA,2,3,NA,4,2,2,3,4,2,5,3,4,3,3,2,2,2,1,2,2,3,3,2,3,4,3,1,3,4,15,NA,NA,NA,1,8,NA,NA,NA,1,3,6,8,NA,NA,NA,NA,NA,1,14,NA,NA,NA,1,1,2,2,2,2,1,4,1,3,NA,NA,1,4,1,6,2,5,2,2,2,3,1,1,1,1,6,6,6,1,4,1,1,1,8,7,10,1,3,11,11,9,7,11,11,1,2,1,1,1,5,11,11,1,1,14,8,3,4,1,46,6
390,5,20,31,11/17/17,5,3,3,4,4,3,2,2,3,1,2,NA,4,3,3,3,4,4,3,3,5,3,5,5,3,2,5,5,5,4,2,5,5,5,5,4,5,3,3,3,3,2,2,2,1,2,2,2,2,2,2,4,4,1,3,4,15,NA,NA,NA,1,10,NA,NA,NA,1,3,5,13,NA,NA,NA,NA,NA,3,14,NA,NA,NA,1,1,2,2,2,2,1,3,1,3,NA,NA,3,5,4,6,3,5,2,2,2,5,4,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,8,NA,NA,1,5,11,11,11,7,1,1,1,6,11,11,6,2,19,8,3,3,1,15,6
391,5,20,31,11/17/17,4,4,2,4,3,4,2,2,4,1,2,NA,2,2,4,2,NA,2,2,2,5,5,5,4,5,1,3,2,4,NA,4,2,2,4,4,2,4,2,4,3,3,2,3,1,1,1,2,3,3,3,2,4,4,1,3,4,15,NA,NA,NA,1,10,NA,NA,NA,1,2,6,8,NA,NA,NA,NA,NA,1,14,NA,NA,NA,1,1,2,2,2,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8,1,1,1,5,NA,NA,1,4,1,1,1,2,6,6,5,7,3,3,2,1,11,9,2,3,NA,NA,NA,6,10,9,3,2,22,8,3,4,1,3,6
392,5,20,31,11/17/17,5,4,2,4,2,4,3,2,4,1,2,NA,2,3,4,3,NA,2,2,2,5,5,5,5,4,1,4,4,4,4,4,4,4,4,4,4,3,2,3,2,3,2,2,1,1,1,2,2,3,2,3,4,3,1,4,4,15,NA,NA,NA,1,3,5,NA,NA,1,3,6,8,NA,NA,NA,NA,NA,1,14,NA,NA,NA,1,1,2,2,2,2,1,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,1,1,3,NA,NA,NA,8,1,1,1,5,1,1,1,7,NA,NA,NA,1,11,11,7,2,1,1,1,6,11,10,1,2,42,8,3,3,1,17,6
